"Closes_ResetAll";"Server_Start";"Server_End";"TaskName";"TaskId"
1546952833038;1546952853038;1546953333051;Textual2019-18;Js3dSdOJgsO1dHqc
1546954542064;1546954554681;1546954726644;Visual2019-10;ZxdOwjYfXhUcSpDk
1546955784817;1546955787887;1546956267900;Textual2019-20;5YU9rpqbafhaEdVN
1546956304973;1546956324973;1546956624987;Visual2019-13;eUdqZhjQhiMypNXe
1546957107688;1546957127688;1546957607704;Textual2019-10;4rPN4Tk2hQBHW9Zm
1546957633609;1546957646288;1546957946298;Visual2019-11;jZIDwajrUYDNbFYk
1546958704785;1546958710673;1546959190694;Textual2019-11;uCuIUT9FXn9yn04m
1546959229139;1546959247752;1546959441229;Visual2019-12;GselTtGVYkBEbIiC
1546960223297;1546960239370;1546960719387;Textual2019-12;eVpokamZD0xEOOfR
1546960757396;1546960777396;1546960907813;Visual2019-14;9d0BB6a9BvvGXw9x
1546961443928;1546961463928;1546961943949;Textual2019-13;1OT94RvGHfY4aAiS
1546961973046;1546961993046;1546962473061;Textual2019-14;d09DtLYeH25Q9SFX
1546962892596;1546962894788;1546963374828;Textual2019-15;7cYJDltmAJ9D0Tce
1547043508808;1547043528808;1547043829009;Visual2019-25;wS5xenFticR6MHax
1547044521133;1547044541133;1547044841162;Visual2019-24;zb7n3SvGvUyhcOuR
1547046091461;1547046111461;1547046411515;Visual2019-23;Q2QyakP95IX1t29h
1547048931989;1547048951989;1547049252051;Visual2019-22;qzUGrM0mL6lfpjkf
1547049272037;1547049281939;1547049582036;Visual2019-21;gLQo8oM3rSTIPwoY
1547049982075;1547050002075;1547050302130;Visual2019-10N;oFPx9afvMv3Yambd
1547050335876;1547050340119;1547050640246;Visual2019-11N;vdVcAlX4AY0TGnn7
1547050733168;1547050753168;1547051053300;Visual2019-12N;DyKoIAqC4VAtSnFI
1547051071418;1547051091418;1547051391512;Visual2019-13N;pqIRWdm1kYR2ykGq
1547051419309;1547051423500;1547051559966;Visual2019-14N;vqUnekI8cFp0PPok
