"Time interval";"C_E1";"F_E1";"I_E1";"K_E1";"C_E2";"F_E2";"I_E2";"K_E2"
-20;3;0;0;0;0;0;0;0
-10;2;0;2;0;0;0;0;2
0;1;0;0;0;1;1;0;4
10;3;0;3;2;2;0;0;10
20;0;0;4;2;0;0;0;0
30;0;0;2;2;0;0;0;4
40;0;1;1;1;0;0;0;2
50;0;0;2;0;0;0;0;0
60;0;0;2;4;0;0;0;1
70;2;0;1;1;0;0;1;0
80;2;0;0;2;0;0;0;1
90;0;2;0;0;0;0;1;0
100;1;1;2;0;0;0;0;0
110;1;1;1;1;0;0;0;0
120;2;0;0;1;0;0;1;0
130;3;2;1;0;2;0;0;0
140;1;0;0;1;1;0;0;0
150;2;2;0;1;0;0;1;1
160;0;0;1;0;2;1;0;0
170;3;0;0;2;0;0;0;0
180;0;0;0;1;0;0;0;0
190;0;0;0;0;0;0;0;1
200;1;0;1;4;0;0;0;0
210;2;0;1;2;0;0;0;0
220;0;0;0;2;3;0;0;0
230;2;0;0;0;1;0;1;0
240;3;0;0;0;1;0;0;0
250;1;0;0;1;0;0;0;1
260;0;1;1;1;0;0;0;5
270;1;0;1;0;0;0;0;0
280;0;0;1;1;0;0;0;1
290;0;0;0;0;0;0;0;1
300;0;0;0;0;1;0;1;0
310;0;0;2;0;0;0;0;2
320;0;0;1;0;0;0;0;4
330;0;0;1;2;0;0;1;1
340;0;0;0;0;0;1;0;2
350;0;0;0;0;0;2;0;1
360;1;0;0;0;0;0;0;0
370;0;0;3;0;0;0;0;0
380;0;1;0;0;0;0;0;0
390;0;3;0;0;0;0;1;0
400;0;0;0;0;0;0;0;1
410;0;1;0;0;0;0;0;3
420;0;0;0;0;1;1;0;1
430;0;0;0;1;0;0;0;0
440;0;0;0;0;1;0;1;2
450;0;0;1;0;2;0;0;0
460;0;0;2;0;0;0;0;0
470;1;0;0;0;0;0;0;0
