"Time interval";"C_E1";"F_E1";"I_E1";"K_E1";"C_N1";"F_N1";"I_N1";"K_N1";"C_E2";"F_E2";"I_E2";"K_E2";"C_N2";"F_N2";"I_N2";"K_N2"
0;1;0;0;0;0;0;0;0;1;12;0;2;0;3;0;2
10;4;5;1;2;0;0;0;0;7;2;1;6;5;1;0;0
20;2;2;3;4;0;1;1;0;7;2;0;4;0;0;0;3
30;3;4;3;0;0;0;0;1;1;3;0;1;2;0;0;0
40;2;3;1;2;0;0;3;0;0;3;0;1;0;0;0;2
50;4;3;3;2;0;2;1;0;2;1;4;3;2;1;0;0
60;3;1;1;2;0;2;1;2;2;6;1;0;1;1;0;0
70;5;2;1;2;0;0;1;3;2;1;0;1;4;1;0;0
80;0;1;2;2;0;0;1;1;3;2;0;0;1;0;0;0
90;3;0;3;2;0;1;2;1;1;1;0;3;0;0;0;0
100;3;0;2;5;1;0;1;0;4;0;1;5;2;3;0;1
110;0;0;1;0;1;0;2;0;4;0;1;0;3;1;0;0
120;0;0;3;1;0;0;1;0;0;2;0;0;3;1;0;0
130;0;0;0;0;0;0;1;0;1;5;1;0;2;1;0;0
140;1;0;4;1;0;1;1;0;0;0;0;0;2;0;0;0
150;2;0;1;0;0;3;0;0;0;0;0;0;0;1;0;2
160;4;0;0;0;1;4;2;0;0;0;0;1;0;0;0;3
170;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
180;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
190;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
200;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0
210;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
220;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
230;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
240;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
250;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
260;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
270;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
280;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
290;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
